,mod_date,pub_date,cvss,cwe_code,cwe_name,
CVE-2014-0296,15/05/2019 14:11,11/06/2014 4:56,5.1,310, Cryptographic Issues,
CVE-2015-6127,15/05/2019 14:04,9/12/2015 11:59,4.3,200, Information Exposure,
CVE-2015-6131,15/05/2019 14:00,9/12/2015 11:59,9.3,20, Improper Input Validation,
CVE-2015-6133,15/05/2019 13:59,9/12/2015 11:59,7.2,264, Permissions Privileges and Access Controls,
CVE-2015-2514,15/05/2019 13:58,9/09/2015 0:59,9.3,20, Improper Input Validation,
CVE-2015-2464,15/05/2019 13:52,15/08/2015 0:59,9.3,20, Improper Input Validation,
CVE-2015-2507,15/05/2019 13:51,9/09/2015 0:59,7.2,264, Permissions Privileges and Access Controls,
CVE-2018-8940,15/05/2019 13:48,14/05/2019 19:29,7.5,611, Improper Restriction of XML External Entity Reference,
CVE-2015-2513,15/05/2019 13:47,9/09/2015 0:59,9.3,20, Improper Input Validation,
CVE-2015-6111,15/05/2019 13:42,11/11/2015 12:59,6.8,399, Resource Management Errors,
CVE-2015-2463,15/05/2019 13:41,15/08/2015 0:59,9.3,20, Improper Input Validation,
CVE-2015-2462,15/05/2019 13:37,15/08/2015 0:59,9.3,20, Improper Input Validation,
CVE-2015-6101,15/05/2019 13:32,11/11/2015 12:59,6.9,264, Permissions Privileges and Access Controls,
CVE-2014-6332,15/05/2019 13:30,11/11/2014 22:55,9.3,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2014-6322,15/05/2019 13:22,11/11/2014 22:55,4.3,20, Improper Input Validation,
CVE-2015-2456,15/05/2019 13:21,15/08/2015 0:59,9.3,20, Improper Input Validation,
CVE-2014-6317,15/05/2019 13:17,11/11/2014 22:55,7.1,129, Improper Validation of Array Index,
CVE-2015-2478,15/05/2019 13:04,11/11/2015 11:59,7.2,264, Permissions Privileges and Access Controls,
CVE-2015-2455,15/05/2019 12:55,15/08/2015 0:59,9.3,20, Improper Input Validation,
CVE-2015-6100,15/05/2019 12:42,11/11/2015 12:59,6.9,264, Permissions Privileges and Access Controls,
CVE-2015-2472,15/05/2019 12:39,15/08/2015 0:59,4.3,20, Improper Input Validation,
CVE-2018-16139,15/05/2019 12:35,13/05/2019 20:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-4204,15/05/2019 12:29,10/05/2019 15:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2015-2435,15/05/2019 11:59,15/08/2015 0:59,9.3,20, Improper Input Validation,
CVE-2015-2423,15/05/2019 11:53,15/08/2015 0:59,4.3,200, Information Exposure,
CVE-2018-1990,15/05/2019 10:29,10/05/2019 15:29,5,200, Information Exposure,
CVE-2019-11886,15/05/2019 3:29,13/05/2019 5:29,6.8,352, Cross-Site Request Forgery (CSRF),
CVE-2019-1999,14/05/2019 23:29,28/02/2019 17:29,7.2,415, Double Free,
CVE-2018-3665,14/05/2019 23:29,21/06/2018 20:29,4.7,200, Information Exposure,
CVE-2018-18559,14/05/2019 23:29,22/10/2018 16:29,6.8,416, Use After Free,
CVE-2018-1068,14/05/2019 23:29,16/03/2018 16:29,7.2,787, Out-of-bounds Write,
CVE-2017-17558,14/05/2019 23:29,12/12/2017 15:29,7.2,787, Out-of-bounds Write,
CVE-2017-11600,14/05/2019 23:29,24/07/2017 7:29,6.9,125, Out-of-bounds Read,
CVE-2016-8633,14/05/2019 23:29,28/11/2016 3:59,6.2,284, Improper Access Control,
CVE-2016-7913,14/05/2019 23:29,16/11/2016 5:59,9.3,416, Use After Free,
CVE-2017-1000407,14/05/2019 22:29,11/12/2017 21:29,6.1,754, Improper Check for Unusual or Exceptional Conditions,
CVE-2019-3863,14/05/2019 21:29,25/03/2019 18:29,6.8,787, Out-of-bounds Write,
CVE-2019-3857,14/05/2019 21:29,25/03/2019 19:29,6.8,190, Integer Overflow or Wraparound,
CVE-2019-3856,14/05/2019 21:29,25/03/2019 19:29,6.8,190, Integer Overflow or Wraparound,
CVE-2019-3855,14/05/2019 21:29,21/03/2019 21:29,9.3,190, Integer Overflow or Wraparound,
CVE-2018-20838,14/05/2019 21:29,13/05/2019 5:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-14712,14/05/2019 20:59,13/05/2019 13:29,4,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2015-2454,14/05/2019 20:54,15/08/2015 0:59,2.1,264, Permissions Privileges and Access Controls,
CVE-2015-2528,14/05/2019 20:52,9/09/2015 0:59,7.2,264, Permissions Privileges and Access Controls,
CVE-2015-1699,14/05/2019 20:51,13/05/2015 10:59,9.3,94, Improper Control of Generation of Code ('Code Injection'),
CVE-2015-2527,14/05/2019 20:48,9/09/2015 0:59,7.2,264, Permissions Privileges and Access Controls,
CVE-2015-1695,14/05/2019 20:45,13/05/2015 10:59,9.3,94, Improper Control of Generation of Code ('Code Injection'),
CVE-2015-2360,14/05/2019 20:39,10/06/2015 1:59,7.2,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2015-2519,14/05/2019 20:33,9/09/2015 0:59,9.3,190, Integer Overflow or Wraparound,
CVE-2015-2518,14/05/2019 20:32,9/09/2015 0:59,6.9,264, Permissions Privileges and Access Controls,
CVE-2015-2546,14/05/2019 20:30,9/09/2015 0:59,6.9,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2015-1674,14/05/2019 20:30,13/05/2015 10:59,4.6,254, 7PK - Security Features,
CVE-2019-5008,14/05/2019 20:29,19/04/2019 19:29,5,476, NULL Pointer Dereference,
CVE-2018-7765,14/05/2019 20:29,3/07/2018 14:29,6.8,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),
CVE-2018-16557,14/05/2019 20:29,13/12/2018 16:29,7.8,20, Improper Input Validation,
CVE-2018-16556,14/05/2019 20:29,13/12/2018 16:29,7.8,20, Improper Input Validation,
CVE-2015-2517,14/05/2019 20:26,9/09/2015 0:59,6.9,264, Permissions Privileges and Access Controls,
CVE-2015-2511,14/05/2019 20:26,9/09/2015 0:59,6.9,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2015-1727,14/05/2019 20:26,10/06/2015 1:59,7.2,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2015-2461,14/05/2019 20:23,15/08/2015 0:59,9.3,20, Improper Input Validation,
CVE-2015-1644,14/05/2019 20:10,14/04/2015 20:59,7.2,264, Permissions Privileges and Access Controls,
CVE-2015-1643,14/05/2019 19:59,14/04/2015 20:59,7.2,264, Permissions Privileges and Access Controls,
CVE-2015-2458,14/05/2019 19:57,15/08/2015 0:59,9.3,20, Improper Input Validation,
CVE-2015-1635,14/05/2019 19:53,14/04/2015 20:59,10,94, Improper Control of Generation of Code ('Code Injection'),
CVE-2015-0095,14/05/2019 19:53,11/03/2015 10:59,5.6,476, NULL Pointer Dereference,
CVE-2015-0096,14/05/2019 19:47,11/03/2015 10:59,9.3,426, Untrusted Search Path,
CVE-2015-2524,14/05/2019 19:44,9/09/2015 0:59,7.2,264, Permissions Privileges and Access Controls,
CVE-2015-0003,14/05/2019 19:39,11/02/2015 3:00,6.9,476, NULL Pointer Dereference,
CVE-2015-1769,14/05/2019 19:38,15/08/2015 0:59,7.2,264, Permissions Privileges and Access Controls,
CVE-2015-2525,14/05/2019 19:35,9/09/2015 0:59,7.2,264, Permissions Privileges and Access Controls,
CVE-2015-2530,14/05/2019 19:30,9/09/2015 0:59,9.3,20, Improper Input Validation,
CVE-2015-0094,14/05/2019 19:26,11/03/2015 10:59,2.1,200, Information Exposure,
CVE-2015-0087,14/05/2019 19:25,11/03/2015 10:59,5,200, Information Exposure,
CVE-2015-0084,14/05/2019 19:23,11/03/2015 10:59,2.1,254, 7PK - Security Features,
CVE-2015-0074,14/05/2019 19:21,11/03/2015 10:59,4.3,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2015-2516,14/05/2019 19:18,9/09/2015 0:59,4.3,20, Improper Input Validation,
CVE-2015-0089,14/05/2019 19:10,11/03/2015 10:59,5,200, Information Exposure,
CVE-2015-0061,14/05/2019 19:10,11/02/2015 3:01,4.3,200, Information Exposure,
CVE-2015-0092,14/05/2019 19:09,11/03/2015 10:59,9.3,94, Improper Control of Generation of Code ('Code Injection'),
CVE-2015-0091,14/05/2019 19:08,11/03/2015 10:59,9.3,94, Improper Control of Generation of Code ('Code Injection'),
CVE-2015-0090,14/05/2019 19:07,11/03/2015 10:59,9.3,94, Improper Control of Generation of Code ('Code Injection'),
CVE-2015-1724,14/05/2019 19:06,10/06/2015 1:59,7.2,416, Use After Free,
CVE-2015-0093,14/05/2019 19:06,11/03/2015 10:59,9.3,94, Improper Control of Generation of Code ('Code Injection'),
CVE-2015-0088,14/05/2019 19:06,11/03/2015 10:59,9.3,94, Improper Control of Generation of Code ('Code Injection'),
CVE-2015-0078,14/05/2019 19:01,11/03/2015 10:59,7.2,264, Permissions Privileges and Access Controls,
CVE-2015-0060,14/05/2019 19:01,11/02/2015 3:01,4.7,19, Data Processing Errors,
CVE-2015-0077,14/05/2019 18:58,11/03/2015 10:59,2.1,200, Information Exposure,
CVE-2015-0059,14/05/2019 18:58,11/02/2015 3:01,6.9,264, Permissions Privileges and Access Controls,
CVE-2018-14711,14/05/2019 18:56,13/05/2019 13:29,4.3,352, Cross-Site Request Forgery (CSRF),
CVE-2015-0079,14/05/2019 18:53,11/03/2015 10:59,7.8,399, Resource Management Errors,
CVE-2015-0080,14/05/2019 18:52,11/03/2015 10:59,4.3,200, Information Exposure,
CVE-2015-1647,14/05/2019 18:51,14/04/2015 20:59,2.1,20, Improper Input Validation,
CVE-2015-0081,14/05/2019 18:51,11/03/2015 10:59,9.3,19, Data Processing Errors,
CVE-2015-0058,14/05/2019 18:51,11/02/2015 3:01,7.2,415, Double Free,
CVE-2015-0057,14/05/2019 18:50,11/02/2015 3:01,7.2,264, Permissions Privileges and Access Controls,
CVE-2015-1721,14/05/2019 18:47,10/06/2015 1:59,7.2,476, NULL Pointer Dereference,
CVE-2015-2534,14/05/2019 18:44,9/09/2015 0:59,1.9,284, Improper Access Control,
CVE-2015-0076,14/05/2019 18:38,11/03/2015 10:59,4.3,200, Information Exposure,
CVE-2015-0073,14/05/2019 18:36,11/03/2015 10:59,7.2,264, Permissions Privileges and Access Controls,
CVE-2015-0062,14/05/2019 18:34,11/02/2015 3:01,7.2,264, Permissions Privileges and Access Controls,
CVE-2015-2529,14/05/2019 18:24,9/09/2015 0:59,2.1,254, 7PK - Security Features,
CVE-2013-7332,14/05/2019 18:14,26/02/2014 14:55,5,399, Resource Management Errors,
CVE-2018-19037,14/05/2019 17:58,13/05/2019 13:29,5,400, Uncontrolled Resource Consumption,
CVE-2018-18912,14/05/2019 17:55,13/05/2019 20:29,7.5,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2018-18558,14/05/2019 17:55,13/05/2019 13:29,6.9,20, Improper Input Validation,
CVE-2019-6515,14/05/2019 17:41,14/05/2019 15:29,5,284, Improper Access Control,
CVE-2019-6514,14/05/2019 17:39,14/05/2019 15:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-6512,14/05/2019 17:36,14/05/2019 15:29,4,918, Server-Side Request Forgery (SSRF),
CVE-2019-6516,14/05/2019 17:35,14/05/2019 15:29,5,918, Server-Side Request Forgery (SSRF),
CVE-2019-3891,14/05/2019 17:29,15/04/2019 12:31,2.1,532, Inclusion of Sensitive Information in Log Files,
CVE-2019-3845,14/05/2019 17:29,11/04/2019 15:29,5.2,284, Improper Access Control,
CVE-2018-8034,14/05/2019 17:29,1/08/2018 18:29,5,295, Improper Certificate Validation,
CVE-2018-16887,14/05/2019 17:29,13/01/2019 2:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-16861,14/05/2019 17:29,7/12/2018 19:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-14664,14/05/2019 17:29,12/10/2018 22:15,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-14713,14/05/2019 17:24,13/05/2019 13:29,5.5,134, Use of Externally-Controlled Format String,
CVE-2019-5495,14/05/2019 17:15,10/05/2019 20:29,5,254, 7PK - Security Features,
CVE-2018-14710,14/05/2019 17:09,13/05/2019 13:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2014-4060,14/05/2019 17:03,12/08/2014 21:55,6.8,416, Use After Free,
CVE-2018-15128,14/05/2019 16:54,13/05/2019 14:29,10,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2015-1723,14/05/2019 16:52,10/06/2015 1:59,7.2,416, Use After Free,
CVE-2019-10053,14/05/2019 16:34,13/05/2019 21:29,7.5,191, Integer Underflow (Wrap or Wraparound),
CVE-2019-9727,14/05/2019 16:33,13/05/2019 17:29,5,255, Credentials Management,
CVE-2019-9726,14/05/2019 16:31,13/05/2019 17:29,5,22, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),
CVE-2018-4456,14/05/2019 16:29,3/04/2019 18:29,9.3,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2018-20580,14/05/2019 16:29,3/05/2019 20:29,9.3,20, Improper Input Validation,
CVE-2017-6975,14/05/2019 16:29,5/04/2017 14:59,7.2,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2017-14315,14/05/2019 16:29,12/09/2017 15:29,7.9,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2015-1720,14/05/2019 14:25,10/06/2015 1:59,7.2,416, Use After Free,
CVE-2013-3918,14/05/2019 14:24,12/11/2013 14:35,9.3,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2019-11680,14/05/2019 14:23,13/05/2019 18:29,7.5,20, Improper Input Validation,
CVE-2013-3869,14/05/2019 14:22,13/11/2013 0:55,5,20, Improper Input Validation,
CVE-2013-3940,14/05/2019 14:19,13/11/2013 0:55,9.3,190, Integer Overflow or Wraparound,
CVE-2018-15530,14/05/2019 14:18,13/05/2019 13:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2013-3876,14/05/2019 14:17,18/11/2013 3:55,7.1,20, Improper Input Validation,
CVE-2013-3900,14/05/2019 14:15,11/12/2013 0:55,7.6,20, Improper Input Validation,
CVE-2014-6318,14/05/2019 14:11,11/11/2014 22:55,4.3,287, Improper Authentication,
CVE-2013-5056,14/05/2019 14:11,11/12/2013 0:55,9.3,416, Use After Free,
CVE-2014-0263,14/05/2019 14:10,12/02/2014 4:50,9.3,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2014-4118,14/05/2019 14:04,11/11/2014 22:55,9.3,94, Improper Control of Generation of Code ('Code Injection'),
CVE-2019-11600,14/05/2019 13:44,13/05/2019 20:29,6.8,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),
CVE-2019-9956,14/05/2019 13:29,24/03/2019 0:29,6.8,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2019-11598,14/05/2019 13:29,29/04/2019 16:29,5.8,125, Out-of-bounds Read,
CVE-2019-11597,14/05/2019 13:29,29/04/2019 16:29,5.8,125, Out-of-bounds Read,
CVE-2019-10650,14/05/2019 13:29,30/03/2019 14:29,5.8,125, Out-of-bounds Read,
CVE-2018-3991,14/05/2019 13:29,5/02/2019 23:29,7.5,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2018-3990,14/05/2019 13:29,5/02/2019 23:29,7.2,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2018-3989,14/05/2019 13:29,5/02/2019 23:29,2.1,200, Information Exposure,
CVE-2017-17682,14/05/2019 13:29,14/12/2017 6:29,7.1,400, Uncontrolled Resource Consumption,
CVE-2017-15281,14/05/2019 13:29,12/10/2017 8:29,6.8,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2017-15017,14/05/2019 13:29,5/10/2017 1:29,6.8,476, NULL Pointer Dereference,
CVE-2017-15015,14/05/2019 13:29,5/10/2017 1:29,6.8,476, NULL Pointer Dereference,
CVE-2017-14739,14/05/2019 13:29,26/09/2017 2:29,5,476, NULL Pointer Dereference,
CVE-2017-14626,14/05/2019 13:29,21/09/2017 5:29,7.5,476, NULL Pointer Dereference,
CVE-2017-14625,14/05/2019 13:29,21/09/2017 5:29,7.5,476, NULL Pointer Dereference,
CVE-2017-14624,14/05/2019 13:29,21/09/2017 5:29,7.5,476, NULL Pointer Dereference,
CVE-2017-14532,14/05/2019 13:29,18/09/2017 1:29,7.5,476, NULL Pointer Dereference,
CVE-2017-14505,14/05/2019 13:29,17/09/2017 19:29,4.3,476, NULL Pointer Dereference,
CVE-2017-14400,14/05/2019 13:29,12/09/2017 21:29,4.3,476, NULL Pointer Dereference,
CVE-2017-14341,14/05/2019 13:29,12/09/2017 17:29,7.1,400, Uncontrolled Resource Consumption,
CVE-2017-14249,14/05/2019 13:29,11/09/2017 9:29,4.3,369, Divide By Zero,
CVE-2017-14060,14/05/2019 13:29,31/08/2017 15:29,4.3,476, NULL Pointer Dereference,
CVE-2017-13768,14/05/2019 13:29,30/08/2017 9:29,4.3,476, NULL Pointer Dereference,
CVE-2017-13145,14/05/2019 13:29,23/08/2017 6:29,4.3,20, Improper Input Validation,
CVE-2017-13142,14/05/2019 13:29,23/08/2017 6:29,4.3,754, Improper Check for Unusual or Exceptional Conditions,
CVE-2017-1000476,14/05/2019 13:29,3/01/2018 18:29,7.1,400, Uncontrolled Resource Consumption,
CVE-2017-1000445,14/05/2019 13:29,2/01/2018 15:29,4.3,476, NULL Pointer Dereference,
CVE-2013-7331,14/05/2019 13:24,26/02/2014 14:55,4.3,200, Information Exposure,
CVE-2015-1637,14/05/2019 13:22,6/03/2015 17:59,4.3,310, Cryptographic Issues,
CVE-2015-1681,14/05/2019 13:21,13/05/2015 10:59,1.9,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2015-1719,14/05/2019 13:12,10/06/2015 1:59,2.1,200, Information Exposure,
CVE-2019-7411,14/05/2019 11:29,13/05/2019 14:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-19871,14/05/2019 9:29,26/12/2018 21:29,4.3,400, Uncontrolled Resource Consumption,
CVE-2018-19869,14/05/2019 9:29,26/12/2018 21:29,4.3,20, Improper Input Validation,
CVE-2019-0217,14/05/2019 3:29,8/04/2019 21:29,6,362, Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),
CVE-2019-0215,14/05/2019 3:29,8/04/2019 20:29,6,284, Improper Access Control,
CVE-2019-8342,14/05/2019 3:12,13/05/2019 17:29,4.6,264, Permissions Privileges and Access Controls,
CVE-2015-1679,13/05/2019 20:30,13/05/2015 10:59,2.1,200, Information Exposure,
CVE-2018-16866,13/05/2019 20:29,11/01/2019 19:29,2.1,125, Out-of-bounds Read,
CVE-2015-1678,13/05/2019 20:24,13/05/2015 10:59,2.1,200, Information Exposure,
CVE-2015-1675,13/05/2019 20:21,13/05/2015 10:59,9.3,94, Improper Control of Generation of Code ('Code Injection'),
CVE-2015-1677,13/05/2019 20:17,13/05/2015 10:59,2.1,200, Information Exposure,
CVE-2015-1676,13/05/2019 19:55,13/05/2015 10:59,2.1,200, Information Exposure,
CVE-2014-1812,13/05/2019 19:40,14/05/2014 11:13,9,255, Credentials Management,
CVE-2018-8007,13/05/2019 19:29,11/07/2018 13:29,9,20, Improper Input Validation,
CVE-2017-12636,13/05/2019 19:29,14/11/2017 20:29,9,78, Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),
CVE-2014-0315,13/05/2019 19:29,8/04/2014 23:55,6.9,426, Untrusted Search Path,
CVE-2015-1722,13/05/2019 19:26,10/06/2015 1:59,7.2,416, Use After Free,
CVE-2014-0301,13/05/2019 19:22,12/03/2014 5:15,9.3,415, Double Free,
CVE-2014-0266,13/05/2019 19:19,12/02/2014 4:50,7.1,200, Information Exposure,
CVE-2014-4064,13/05/2019 19:09,12/08/2014 21:55,4.9,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2014-1819,13/05/2019 19:06,12/08/2014 21:55,7.2,264, Permissions Privileges and Access Controls,
CVE-2014-4074,13/05/2019 19:02,10/09/2014 1:55,7.2,264, Permissions Privileges and Access Controls,
CVE-2017-12872,13/05/2019 18:53,1/09/2017 21:29,4.3,200, Information Exposure,
CVE-2014-1814,13/05/2019 18:52,12/08/2014 21:55,7.2,264, Permissions Privileges and Access Controls,
CVE-2017-14064,13/05/2019 18:48,31/08/2017 17:29,7.5,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2019-12041,13/05/2019 18:42,13/05/2019 13:29,5,399, Resource Management Errors,
CVE-2014-0316,13/05/2019 18:35,12/08/2014 21:55,7.5,399, Resource Management Errors,
CVE-2018-11229,13/05/2019 18:31,8/06/2018 1:29,7.5,78, Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),
CVE-2014-0323,13/05/2019 18:31,12/03/2014 5:15,6.6,200, Information Exposure,
CVE-2019-11869,13/05/2019 18:29,9/05/2019 23:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-11627,13/05/2019 18:29,30/04/2019 23:29,10,77, Improper Neutralization of Special Elements used in a Command ('Command Injection'),
CVE-2019-11235,13/05/2019 18:29,22/04/2019 11:29,7.5,345, Insufficient Verification of Data Authenticity,
CVE-2019-11234,13/05/2019 18:29,22/04/2019 11:29,7.5,287, Improper Authentication,
CVE-2019-11070,13/05/2019 18:29,10/04/2019 21:29,5,19, Data Processing Errors,
CVE-2014-0300,13/05/2019 18:21,12/03/2014 5:15,7.2,264, Permissions Privileges and Access Controls,
CVE-2013-5058,13/05/2019 18:13,11/12/2013 0:55,6.9,190, Integer Overflow or Wraparound,
CVE-2017-5641,13/05/2019 18:06,28/12/2017 15:29,7.5,502, Deserialization of Untrusted Data,
CVE-2014-0131,13/05/2019 18:03,24/03/2014 16:40,2.9,416, Use After Free,
CVE-2017-8685,13/05/2019 17:43,13/09/2017 1:29,2.1,200, Information Exposure,
CVE-2019-10886,13/05/2019 17:41,19/04/2019 18:29,4.3,200, Information Exposure,
CVE-2017-18122,13/05/2019 17:40,2/02/2018 15:29,6.8,347, Improper Verification of Cryptographic Signature,
CVE-2019-7360,13/05/2019 17:29,9/04/2019 20:30,6.8,416, Use After Free,
CVE-2019-7359,13/05/2019 17:29,9/04/2019 20:30,6.8,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2019-11832,13/05/2019 17:29,9/05/2019 5:29,9.3,20, Improper Input Validation,
CVE-2019-11000,13/05/2019 17:29,10/05/2019 20:29,4,200, Information Exposure,
CVE-2012-6652,13/05/2019 17:28,13/05/2019 14:29,7.5,22, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),
CVE-2017-14956,13/05/2019 17:16,18/10/2017 18:29,3.5,352, Cross-Site Request Forgery (CSRF),
CVE-2018-19048,13/05/2019 17:12,13/05/2019 14:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-16624,13/05/2019 17:12,13/05/2019 13:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-12301,13/05/2019 17:10,13/05/2019 13:29,5,200, Information Exposure,
CVE-2018-16623,13/05/2019 17:07,13/05/2019 13:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-12302,13/05/2019 16:57,13/05/2019 13:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-11066,13/05/2019 16:48,10/05/2019 20:29,7.5,918, Server-Side Request Forgery (SSRF),
CVE-2018-18524,13/05/2019 16:44,13/05/2019 14:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-12303,13/05/2019 16:38,13/05/2019 13:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-12300,13/05/2019 16:32,13/05/2019 13:29,5.8,601, URL Redirection to Untrusted Site ('Open Redirect'),
CVE-2019-12043,13/05/2019 16:31,13/05/2019 14:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-18872,13/05/2019 16:31,13/05/2019 14:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-7409,13/05/2019 16:27,13/05/2019 14:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-12298,13/05/2019 16:26,13/05/2019 13:29,5,22, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),
CVE-2019-12047,13/05/2019 16:24,13/05/2019 15:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-12295,13/05/2019 16:24,13/05/2019 13:29,7.5,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),
CVE-2018-12299,13/05/2019 16:23,13/05/2019 13:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-12297,13/05/2019 16:10,13/05/2019 13:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-6065,13/05/2019 16:05,14/11/2018 15:29,6.8,190, Integer Overflow or Wraparound,
CVE-2019-11879,13/05/2019 16:04,10/05/2019 16:29,2.1,22, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),
CVE-2018-18409,13/05/2019 15:46,17/10/2018 4:29,4.3,125, Out-of-bounds Read,
CVE-2017-18121,13/05/2019 15:41,2/02/2018 15:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-19525,13/05/2019 15:34,21/03/2019 16:00,4.3,352, Cross-Site Request Forgery (CSRF),
CVE-2018-12304,13/05/2019 15:29,13/05/2019 13:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-16626,13/05/2019 15:12,13/05/2019 13:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-16625,13/05/2019 15:11,13/05/2019 13:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-16639,13/05/2019 15:10,13/05/2019 13:29,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-11888,13/05/2019 15:04,13/05/2019 5:29,7.5,264, Permissions Privileges and Access Controls,
CVE-2017-0900,13/05/2019 14:31,31/08/2017 20:29,5,20, Improper Input Validation,
CVE-2019-7413,13/05/2019 14:29,5/02/2019 18:29,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2018-4360,13/05/2019 14:29,3/04/2019 18:29,6.8,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2018-20782,13/05/2019 14:29,17/02/2019 18:29,5,20, Improper Input Validation,
CVE-2018-18466,13/05/2019 14:29,21/03/2019 16:00,1.9,255, Credentials Management,
CVE-2018-20664,13/05/2019 14:18,3/01/2019 19:29,7.5,611, Improper Restriction of XML External Entity Reference,
CVE-2019-11878,13/05/2019 14:06,10/05/2019 15:29,3.3,190, Integer Overflow or Wraparound,
CVE-2019-5675,13/05/2019 14:01,10/05/2019 21:29,7.2,19, Data Processing Errors,
CVE-2019-5677,13/05/2019 13:51,10/05/2019 21:29,4.9,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
